unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1553126400000,58.5,59.1,53.31,55.14,7780.91395,1553212799999,439917.273083,1882,3552.7774,201094.4098694,0,
1553212800000,55.37,56.56,54.42,55.07,5182.07127,1553299199999,286909.1342886,1360,1826.06795,101228.3464648,0,
1553299200000,55.06,56.9,54.78,56.9,3435.73138,1553385599999,190964.3467238,917,1955.51545,108497.1451013,0,
1553385600000,56.8,58.44,55.81,57.21,8357.05638,1553471999999,478186.0918224,1813,3446.81921,197249.3492575,0,
1553472000000,57.06,57.13,53.78,55.32,4922.4201,1553558399999,274141.6520095,1117,2573.85178,143012.7398229,0,
1553558400000,55.32,55.5,52.72,54.49,3951.24438,1553644799999,212108.683224,894,1722.47823,92376.0629299,0,
1553644800000,54.5,57.35,54.49,56.96,4350.00589,1553731199999,241493.3666605,1059,2020.5039,112626.6352897,0,
1553731200000,56.8,56.8,55.29,56.18,5429.87373,1553817599999,303098.3218913,1103,1955.13482,109375.0498656,0,
1553817600000,56.15,58.12,55.1,57.14,8048.82943,1553903999999,453946.9213097,1686,4288.91351,241147.8386816,0,
1553904000000,57.15,57.44,55.6,57.1,3709.98578,1553990399999,210420.9254309,964,2090.35108,118974.83848,0,
1553990400000,56.81,59.52,56.73,58.65,11424.86631,1554076799999,664704.6983971,2173,7194.24477,419204.485844,0,
1554076800000,58.78,63.68,58.13,62.7,14320.42676,1554163199999,884575.3532597,3377,7968.29755,491579.7785932,0,
1554163200000,62.69,70.99,60.56,69.6,29209.1403,1554249599999,1915070.4167144,7148,15549.82906,1020486.0722066,0,
1554249600000,69.53,77.0,66.0,69.55,26319.22623,1554335999999,1892511.129047,7645,11476.85053,823153.5262681,0,
1554336000000,69.11,71.37,64.59,66.78,11785.24136,1554422399999,801465.0088937,3648,4982.40862,339544.7663762,0,
1554422400000,66.91,72.62,66.91,72.05,13442.0753,1554508799999,949160.8077646,3590,7612.04523,538044.3254879,0,
1554508800000,71.62,73.12,69.14,71.23,7766.29711,1554595199999,551161.6289009,2768,3685.68792,262096.6780466,0,
1554595200000,71.38,75.0,70.52,74.37,14712.68656,1554681599999,1075249.9882733,4238,7367.18842,538098.43677,0,
1554681600000,74.21,76.07,68.85,72.19,14024.24424,1554767999999,1019916.621776,4561,6441.93381,470100.4269013,0,
1554768000000,72.2,72.2,68.6,70.3,14949.76326,1554854399999,1041357.535008,3111,9575.27573,665434.1556667,0,
1554854400000,70.43,73.79,70.07,71.75,10810.99401,1554940799999,777505.5219636,3184,5873.44491,422726.053272,0,
1554940800000,71.85,72.11,63.32,69.61,13912.92374,1555027199999,942696.0969887,4080,6230.67265,424032.1793866,0,
